id,value
1,62976334.84096585
2,87089723.61873527
4,78219623.0073182
5,85256702.99523044
6,67179384.74278495
10,73216050.97814788
11,66659522.24420822
15,73691991.90024298
17,66217606.81196064
23,63649400.173611015
25,67789569.48572785
28,61600600.7275659
31,66253335.87652167
35,48201177.36769416
39,23928081.46563164
40,22611597.04990094
43,62842600.67128122
48,51957218.37209015
51,33758808.998553954
55,60413105.81509455
56,60535404.358805805
57,42774896.13298169
61,50575783.68400777
62,48932123.3868366
69,37140600.34442728
70,29336796.602464814
71,37229815.38002249
74,43421789.298701465
80,48990165.39855417
82,47468907.14701077
84,39447063.00595708
85,38953631.31744914
88,37133882.979489945
90,33553457.72572427
91,33553457.72572427
95,29203027.778632972
101,32985796.082179666
104,13702107.842974631
111,33406626.326462954
113,33175745.755224496
116,42695364.589755885
120,38242046.543706335
122,37938653.3696304
130,29987635.718684323
136,32986288.758705728
138,29524852.435366526
141,22054400.95884061
144,27092204.458831236
146,24244179.57937037
147,19364773.472251672
150,20651356.982440043
151,30628197.877631646
152,9348630.912697125
158,22850792.244451758
159,28705905.32637637
160,30105086.017107483
162,33039992.645884115
168,32490807.074150275
172,28016852.495920677
177,29746429.327795777
181,27062018.227052756
183,34208966.55573562
184,33198637.741274938
186,29903417.71353163
187,32396448.831136547
192,28452982.152654123
193,30183858.778700408
194,22877187.57750908
200,24244193.681290302
201,12272439.913226828
204,23389706.752689056
206,28016852.495920677
208,25569554.323521245
219,19210018.569469143
221,10449379.946632834
227,30419834.667513438
231,5955291.913675048
233,30158824.148586214
235,28820810.155560087
237,21978206.569471482
238,25148985.46645153
239,24900131.57007337
255,20960468.511413574
258,22265062.61217854
260,22899902.328506883
272,22611133.484165218
273,20415473.280730072
275,26249429.6213694
279,19217935.87942285
281,21989613.61189952
284,21702745.12975929
286,20439164.604055844
292,19190950.693463046
300,12435284.355416883
301,12361985.783134881
303,14810260.298223142
304,18800080.741918143
315,7243389.853797278
318,4313546.559091266
320,17421434.507066827
322,21291976.25229687
323,26658764.58964356
326,27291634.904574938
328,24176956.807212565
337,21714289.49757317
339,19915279.987491142
342,21360238.599318102
343,23048321.978036188
360,17421434.507066827
364,20102811.796055015
365,17942738.414424557
367,20739420.01923218
368,15290842.91517556
369,14469806.710997075
372,16176127.386633284
376,19075043.937584266
379,17942738.414424557
380,21981361.801370163
383,15290842.91517556
385,9966608.26051623
386,14280689.239133079
390,15986083.873835044
391,15986083.873835044
393,15986083.873835044
400,8329247.18958206
403,7189126.2921050545
413,22007062.67955658
416,20311309.198179383
423,16095850.659412727
424,17167770.407376852
426,13809103.205123186
427,19092747.71108114
428,14632426.932282079
429,19302678.297897752
431,11743795.883478519
432,17353809.775988415
433,17116875.427404396
439,9772414.500728663
443,16008435.870727671
444,19074176.1518065
446,19002059.387530465
449,18842130.973169968
456,17265780.63644349
457,13174362.970418204
464,14361793.184323242
468,18685319.596668832
472,12371682.299083492
474,16586516.278588535
483,11590667.894690063
488,13031588.1306792
494,13641898.86816159
499,9772414.500728663
505,11590667.894690063
506,14200541.84244495
510,14064355.626585225
511,10714483.551720392
512,5233273.005843337
517,10317060.0146352
521,14131934.099331224
522,8947378.492911294
523,13028290.564692026
526,11918370.992776455
531,10317060.0146352
540,1628799.4456718375
547,4536824.473215883
555,17872114.051533222
556,17840707.2392033
563,4346979.042790117
564,18364691.240728293
566,10090325.038841542
573,9003135.45795495
574,17857178.494018573
581,17714442.737251364
588,11725093.089660479
590,15824781.22585534
591,15824781.22585534
595,15355837.912764214
596,14266759.625988713
597,17334351.54764324
599,14588810.64435382
600,10127875.069308441
602,11407742.908208052
603,14271182.393513646
606,15262360.914448185
613,10858904.629987873
615,12064796.712282762
620,16645492.129644383
623,12113701.128589561
624,10127875.069308441
628,10219370.518634966
630,13106576.473532328
635,14584091.813713074
636,14069630.796582403
638,15877626.050076993
662,9910150.156778982
664,11379880.008805303
665,10178937.600753292
670,12725979.600400014
672,11725093.089660479
677,12129930.25074903
680,10916655.850635853
695,8643314.922486246
705,8780046.828356003
713,5635198.375442953
716,4346979.042790117
717,7229141.524121755
720,14011078.000274375
723,13080937.262412187
725,15617764.448544426
731,7788970.4175528595
733,7788970.4175528595
734,12530640.985345861
738,13239268.658495732
740,11872833.441498198
743,12866945.411902398
747,13256419.847997224
750,13252040.051045444
752,12064288.325995807
753,9147416.088047018
756,10376879.464602906
758,9840907.646715399
768,15880766.933457574
770,12148431.824083667
772,9114308.944328234
773,10970615.71093601
791,12260047.662087418
793,14509493.839448115
794,9938991.210460462
798,11814133.287577266
799,8358042.674390837
801,14450156.302298974
804,14039769.102220254
805,12845342.046197305
811,10376879.464602906
822,11357271.161783958
824,12115897.37459782
827,11253852.673016543
828,10199696.762027761
832,10079138.738112994
837,12261671.18794946
844,9840907.646715399
851,8770386.869365886
852,9363727.469625061
854,9955335.693567313
856,11403491.795296615
860,10079138.738112994
867,6458796.891574302
877,9363727.469625061
880,6512820.0281700995
883,9840907.646715399
885,8188192.418060286
889,10904460.916305553
891,7636701.669433972
894,3470080.4307582006
897,9625530.833852753
898,9374222.016969921
899,4530140.3070153
904,10347270.308346877
906,9827098.309055895
907,7775466.417666381
910,8083461.545575313
915,1271137.4555197782
917,9387798.653688543
919,11143232.648317005
925,6948603.492812373
928,6499097.626322956
940,3092338.7085896423
945,10118724.464803072
946,8390024.852695819
951,8220692.573986055
953,11841455.131958732
959,4036537.9667923376
961,7392387.392878268
963,6012594.915234298
965,5452412.9829617655
971,4927458.328603423
973,6592255.655701504
983,4203746.551520584
985,8958484.849906323
997,5655096.092747654
998,5942638.088117687
999,8390024.852695819
1004,2489470.460547529
1012,5942638.088117687
1014,11269832.902585333
1021,4927458.328603423
1024,9987726.333046405
1028,10676879.988966951
1034,7984189.124107727
1037,6012594.915234298
1038,12427773.643960262
1041,8113881.84652431
1043,6746381.055853344
1044,12402959.568113238
1048,11253975.810227828
1054,16357047.714241123
1058,9112358.010404235
1059,6344820.821863582
1061,11191980.624998873
1068,2551419.408980673
1070,6142684.142654516
1075,11352684.449439572
1076,2834610.2839188413
1078,8188192.418060286
1080,7615871.39279688
1082,13391435.008889027
1084,2228749.1177068935
1085,6592255.655701504
1088,10908106.459893141
1091,10754276.63403817
1094,13044832.353277456
1096,8071469.91591045
1099,8736447.872995479
1101,8958484.849906323
1103,9057070.836642249
1107,10215561.631445311
1108,9789114.784182996
1110,7277286.606660602
1117,8958484.849906323
1119,10048068.9884588
1120,8513409.778441323
1122,7172537.0878929
1130,16296118.189238029
1136,13975798.138648335
1137,7277286.606660602
1139,12205909.30378978
1140,10436074.646255499
1141,12353799.715184744
1144,9967290.767266057
1148,8390024.852695819
1165,8652356.99960135
1168,14064963.01960436
1174,10207437.679802109
1179,9136470.478527403
1187,10669355.591016911
1188,9415054.62489414
1190,2831955.4480027934
1196,7540721.708851752
1197,4127329.911441369
1200,9151700.768717093
1201,9381388.642719721
1203,4952312.413162109
1205,7821524.576387259
1208,8303336.401702094
1212,7881809.130957138
1213,7525604.055978961
1214,10669355.591016911
1217,7380942.095114234
1224,5796610.651941907
1228,9671256.387719382
1229,6554181.652259361
1239,7367327.702446527
1240,7380942.095114234
1247,10249171.583816797
1259,11673687.760004476
1261,8173380.229622605
1265,9381388.642719721
1268,8197314.9359072475
1269,133742.8978295261
1271,12604879.392794395
1274,8197314.9359072475
1275,7624097.996386809
1276,9256309.188140472
1277,3790974.902036063
1278,8401082.961556874
1288,6167094.726525901
1291,7279832.972561115
1296,8968892.110569831
1297,7881809.130957138
1302,12048002.29144726
1304,10077156.85920918
1306,7881809.130957138
1307,2996141.7261094907
1309,2334530.3681635438
1310,8197314.9359072475
1314,6554181.652259361
1316,8493932.309833733
1317,13264843.73970188
1323,5195783.1955985855
1324,7681494.137327046
1325,8515808.35537859
1326,2152711.8731804234
1331,5060666.684225088
1333,6251884.269203631
1334,7881809.130957138
1335,7296253.905164855
1337,8185696.3166369395
1347,10398337.198989525
1348,5575467.373399034
1354,7812845.247469507
1355,4529584.414548507
1358,9960191.847288208
1362,8758692.776932327
1363,5889420.609121521
1375,7950966.4135649325
1377,8964092.404718103
1380,10793501.815532861
1382,7080205.746001884
1391,4760764.235730672
1397,6480831.128643507
1400,7367327.702446527
1401,6909348.897977121
1405,11732075.034315623
1408,6662819.580875557
1409,7296253.905164855
1411,7139688.753358694
1417,4995821.780096511
1420,12759234.2797604
1421,9438974.38659941
1425,5796610.651941907
1428,5831913.073090435
1431,10511238.334562274
1436,7296253.905164855
1448,5525215.537764541
1450,6480831.128643507
1458,6662819.580875557
1459,10273494.054738173
1463,5539943.673918095
1471,10905393.438035715
1473,7698562.010666761
1474,7426615.282087843
1476,10089521.582499254
1482,7296253.905164855
1487,7367327.702446527
1491,10093406.069906607
1496,4091001.445478684
1497,9145718.938934652
1498,9573363.649982458
1504,8758692.776932327
1507,9119053.291882776
1509,7380942.095114234
1513,6133425.823207527
1518,6662819.580875557
1519,5195783.1955985855
1522,7698562.010666761
1532,9098243.739617925
1534,12949472.510844095
1538,8291281.917873158
1542,6770525.94979589
1544,6984372.338243627
1549,7973520.045619732
1558,7892304.456195728
1562,6413335.345754599
1563,6138844.99170664
1564,7105472.908263721
1565,3672738.6248408617
1568,5242766.58749089
1569,7185187.585863486
1570,4896255.874509529
1573,5425434.408920971
1574,7003758.776308006
1578,6494940.301933382
1580,9315109.142881613
1581,2301616.992007184
1585,6387781.639578268
1591,3045636.8500087946
1598,5596657.443055578
