id,value
1,63260213.252314836
2,78826859.6966251
4,72045686.71293859
5,76518431.77029373
6,65277469.661957875
10,70140904.25712612
11,65424336.78754489
15,69988347.9651218
17,63076894.45241766
23,62220670.22480649
25,64586751.24731528
28,61009433.10246916
31,66592763.94059518
35,45804900.83757257
39,28604715.754068866
40,27108386.999906186
43,62507180.06059934
48,50671039.19258848
51,34174589.51255934
55,60129329.28051552
56,57585782.52004497
57,44292237.18788234
61,45787736.13393334
62,52627075.69254619
69,38971324.47932254
70,31806655.85744466
71,37532977.37059967
74,43707522.624153234
80,45627361.38276047
82,39607440.24976224
84,38899743.26530371
85,35111842.13885698
88,35083430.46860833
90,33173576.047909927
91,33173576.047909927
95,29496070.292602204
101,31481375.86898829
104,9747069.96187672
111,33851602.57603797
113,34108272.43742261
116,40833691.58454032
120,32620339.942030847
122,37656628.459074296
130,28402081.006769314
136,32199574.5937659
138,29398761.443514235
141,22679992.363809075
144,28628564.67458254
146,24228283.99284956
147,19224942.009046104
150,20639330.017253667
151,29471427.918564297
152,9016536.9067563
158,22376602.898566533
159,27950566.14124354
160,30578679.783250652
162,33880981.006629385
168,30540501.63127902
172,27527515.146122422
177,31840056.353036534
181,26720669.915886898
183,32018084.42993704
184,32654054.79742564
186,29351154.53052823
187,31054773.96896904
192,29138767.651877157
193,29615115.17375669
194,21604395.052772254
200,23467392.180027314
201,12935778.031281264
204,22839494.408916224
206,27527515.146122422
208,25432234.161561675
219,17940610.97207864
221,10684229.441426711
227,30243496.20672916
231,6644955.295738881
233,31652321.67770757
235,27935017.836036064
237,21904342.361992225
238,24854383.122410912
239,24178527.08855011
255,21040664.298453666
258,23218638.33044781
260,22359279.350419365
272,21711690.494827203
273,21651482.484039925
275,26781138.57344969
279,19195762.341501098
281,21720030.392760586
284,20665525.869698998
286,20319454.04586084
292,17415906.45326578
300,12503862.6294728
301,12417676.84218016
303,15131010.474029586
304,18767902.514043942
315,7634523.167463809
318,3328673.3290710896
320,17625801.92716967
322,21688898.814319402
323,26068427.778613042
326,26476311.964731507
328,25104746.238251507
337,21493607.4754209
339,19589529.424215958
342,21681711.383178335
343,23472177.036463615
360,17625801.92716967
364,19761444.723362368
365,17818341.528716654
367,19175328.08149931
368,15881119.24950693
369,14825180.10657693
372,15482464.6824109
376,18899111.16515939
379,17818341.528716654
380,21483013.55483163
383,15881119.24950693
385,10046765.971480384
386,14237971.409328055
390,16086729.727732848
391,16086729.727732848
393,16086729.727732848
400,8265454.4294185145
403,7019908.623209556
413,22186549.95394626
416,20524423.212802485
423,15820607.95930333
424,17315289.467819795
426,14421563.075315544
427,18811227.564923592
428,13729706.717426814
429,19148815.40551823
431,12059292.969639283
432,17599263.38172485
433,17652844.448072698
439,8924920.081910193
443,16329357.61492546
444,19839876.34558987
446,18927510.059371755
449,19583980.834224734
456,17197936.11345239
457,13325362.724208392
464,14557590.631296335
468,17721601.233151793
472,12009033.58331733
474,17141582.66194092
483,11840361.502150478
488,12843255.43204116
494,12626104.80576178
499,8924920.081910193
505,11840361.502150478
506,13890105.832526445
510,14034185.63492102
511,10577003.618530042
512,6007893.82107814
517,10300971.022729186
521,13754620.28917317
522,8975758.893210331
523,12994857.00004202
526,11972996.927490726
531,10300971.022729186
540,1838382.4752895893
547,4994674.9566188585
555,18709521.599913318
556,17866809.132151634
563,4674270.244291316
564,17211127.335477326
566,9868269.457749372
573,9671932.805339368
574,17951990.955111578
581,17689813.24812009
588,11745710.796246039
590,15056383.548156362
591,15056383.548156362
595,15438931.210839665
596,13627297.09462101
597,17499415.952236418
599,13901295.560440624
600,10295295.67472032
602,10982346.025278255
603,14508367.137215039
606,16092085.37600533
613,10793377.059901044
615,11554212.669952853
620,16612941.266071722
623,12116745.095066214
624,10295295.67472032
628,10500907.80304554
630,13596022.855077272
635,15185801.870302437
636,13822642.993335234
638,16227679.1671484
662,9866564.1441228
664,10772017.271062568
665,10264217.291336339
670,12858588.530231915
672,11745710.796246039
677,11799693.22522869
680,11069088.889127215
695,9261345.186493564
705,9168548.221953176
713,5154649.844410914
716,4674270.244291316
717,6722660.495974233
720,14394947.7035719
723,13114460.652744291
725,15687257.003775055
731,7986204.65812481
733,7986204.65812481
734,12806082.149593672
738,12936967.038836323
740,12111456.76305457
743,13964331.492871251
747,13026453.105516898
750,13129553.73014711
752,11973390.486102426
753,8867882.127618378
756,10258659.9737856
758,10081555.923683837
768,16415479.082201868
770,11573219.344819026
772,8896712.828787783
773,10667442.331950784
791,13432405.932028659
793,13877204.441388106
794,10315485.61996881
798,12225370.950327199
799,8562614.471078316
801,13990405.79913658
804,13918036.048487158
805,13113473.330238044
811,10258659.9737856
822,11799724.075647512
824,11640699.19996918
827,11227216.071614804
828,10510879.954821466
832,10393302.011064805
837,12085373.833005454
844,10081555.923683837
851,9048346.361350616
852,9740701.11438737
854,10064422.759193992
856,12066421.227255626
860,10393302.011064805
867,5997569.305126929
877,9740701.11438737
880,6206587.974864227
883,10081555.923683837
885,7813713.392829544
889,11111083.467986818
891,7681322.493968035
894,3575662.1781335915
897,9477915.704346083
898,9148985.646296212
899,4595615.349687866
904,10208838.492784848
906,9970474.54076018
907,7565022.421169145
910,8155516.765929445
915,1168462.5165271522
917,9186439.841407033
919,11167181.801373046
925,7013443.7939057145
928,6468366.889706427
940,3168657.234548178
945,9720866.349374497
946,8399851.142660094
951,8355415.192019936
953,11947868.381941285
959,4433070.674733287
961,7296853.352293665
963,5466304.273969174
965,5511993.381876315
971,4915797.185448881
973,6457176.985719307
983,4538330.938409577
985,8925637.985371117
997,4872135.973118619
998,5965897.0166075425
999,8399851.142660094
1004,2744790.822905789
1012,5965897.0166075425
1014,11249395.5350903
1021,4915797.185448881
1024,9891827.024555601
1028,10206643.375972386
1034,7723344.379205994
1037,5466304.273969174
1038,12678152.951932525
1041,8079748.964717433
1043,7165366.879921581
1044,12572597.44828606
1048,11732420.005121505
1054,15617935.002907472
1058,8871323.146131208
1059,6211043.329867479
1061,11415459.1260048
1068,2661899.705758408
1070,5789981.012147516
1075,11372666.97737555
1076,3203931.796479249
1078,7813713.392829544
1080,7848594.4534042785
1082,12906663.861948768
1084,2063007.9921543857
1085,6457176.985719307
1088,10945533.338895861
1091,10847481.782331903
1094,11507714.253871534
1096,8100934.465117957
1099,8585414.529687973
1101,8925637.985371117
1103,9030132.475645026
1107,10256990.788863435
1108,9752250.262649016
1110,7117756.103732615
1117,8925637.985371117
1119,9735570.524845557
1120,8569093.624461943
1122,6957389.345775309
1130,15083036.451658571
1136,14244423.055197392
1137,7117756.103732615
1139,11589865.363019956
1140,10578211.173874624
1141,12512221.490824748
1144,9575113.351899132
1148,8399851.142660094
1165,8476350.306744346
1168,13459802.227038767
1174,9702873.200780358
1179,8815224.042777646
1187,10723661.618099138
1188,8990043.920140311
1190,2822798.840642728
1196,8112233.962725879
1197,3841770.1763554937
1200,8743067.222836979
1201,9176859.291794404
1203,4886919.809774623
1205,7733319.250767709
1208,8502494.397250736
1212,7954309.435973601
1213,7632857.191208832
1214,10723661.618099138
1217,7271955.162987069
1224,5828950.8061086815
1228,10047854.962831065
1229,6642300.9778491
1239,7350177.829258526
1240,7271955.162987069
1247,10328899.03940433
1259,11641971.543578668
1261,8136417.50891419
1265,9176859.291794404
1268,8127373.372804573
1269,890326.591001233
1271,12120069.22717622
1274,8127373.372804573
1275,7669060.3777646525
1276,9475883.843191287
1277,3636067.185232139
1278,8326158.861547385
1288,6093748.823333424
1291,7264266.543498408
1296,8543947.037608594
1297,7954309.435973601
1302,12796462.997050095
1304,10204049.906466125
1306,7954309.435973601
1307,2743893.5714203333
1309,2339573.4180562235
1310,8127373.372804573
1314,6642300.9778491
1316,8300381.363995704
1317,13288454.44152767
1323,5349171.581655369
1324,7514698.536886328
1325,8610804.15690508
1326,1949754.1893814085
1331,5097564.343375035
1333,6054591.833140993
1334,7954309.435973601
1335,7220885.2579260245
1337,8247687.420062554
1347,10511869.703507263
1348,5516112.7424078835
1354,7427421.424471314
1355,4511397.077266739
1358,10256987.179140454
1362,8595167.24370321
1363,6025707.305188688
1375,7891997.6438167
1377,8644526.80891873
1380,11168300.454393022
1382,6566351.002711142
1391,4767329.922759354
1397,5864843.993560703
1400,7350177.829258526
1401,6881806.495306348
1405,11970634.671802498
1408,6464410.57982582
1409,7220885.2579260245
1411,7158300.832738248
1417,5037879.083972249
1420,12558707.613256218
1421,9349523.593899103
1425,5828950.8061086815
1428,5700380.59073613
1431,10611830.459871644
1436,7220885.2579260245
1448,5390878.578049275
1450,5864843.993560703
1458,6464410.57982582
1459,10336800.008794468
1463,5709808.163961816
1471,10969021.419436354
1473,7919403.1165757645
1474,7360333.392394608
1476,10036506.712394174
1482,7220885.2579260245
1487,7350177.829258526
1491,10040313.27288444
1496,4004967.4725404554
1497,9189680.011098996
1498,9999127.640835794
1504,8595167.24370321
1507,9188999.270115484
1509,7271955.162987069
1513,6129125.395239218
1518,6464410.57982582
1519,5349171.581655369
1522,7919403.1165757645
1532,9072454.425925536
1534,12833064.119134292
1538,8269977.580237685
1542,6972552.1571859885
1544,7002754.520121707
1549,8061478.158257958
