id,value
1,61809255.49699321
2,71206703.76390876
4,68400274.06052917
5,72138380.24228248
6,61518706.398392394
10,70221978.87993869
11,66796012.107524596
15,66877221.19143836
17,66414633.15659438
23,57476913.76678452
25,67426848.3870029
28,53669568.043440305
31,65146118.069843724
35,43662605.04889236
39,28000647.214250527
40,31919912.955136824
43,68361219.61101362
48,50822456.67676668
51,33249814.12639133
55,60191571.87452391
56,59915417.673975684
57,46918422.78220229
61,44767802.65892897
62,51042289.572366916
69,36426409.460768335
70,28388365.18771675
71,32807419.446371946
74,41382361.33366049
80,48524884.15535385
82,53066943.15795651
84,40848319.30065759
85,36430202.96232578
88,34249720.29942685
90,37528485.11197211
91,36290927.54282553
95,31137776.833974805
101,36109261.50346921
104,12077536.157730246
111,32042322.553013716
113,31390404.60265322
116,44950510.19703885
120,37271213.70225387
122,35882328.59660621
130,30071078.795755178
136,33931320.55201714
138,27390245.257840037
141,26064796.13074552
144,27327223.576956846
146,25512136.003485
147,19455493.659364946
150,18564282.32618034
151,30718909.652833927
152,10460333.949360114
158,24996454.08395802
159,29280064.77004606
160,28726649.74054402
162,33264700.896423742
168,30514214.236729406
172,29206402.34963858
177,33313825.12861514
181,25088627.26772311
183,33893036.78957117
184,33329723.11076986
186,29235869.242961988
187,30416863.66108874
192,31734861.980473746
193,29470007.27800665
194,22439553.429951835
200,23277602.973083198
201,10337469.50708748
204,21800842.09160779
206,27601211.143993475
208,25764052.381541166
219,19520339.65593694
221,7918498.4727064995
227,30172090.374827977
231,7101396.761902003
233,30951188.374921467
235,27616331.061660998
237,21164000.572953362
238,24418311.092197243
239,23480657.09309034
255,20582843.35098622
258,23892344.010674503
260,23649496.626661707
272,23347659.01680379
273,20775789.11965389
275,27369989.039627384
279,19893869.655529313
281,22530044.652105734
284,22351743.865310438
286,19280247.29447186
292,17583284.94471494
300,12091305.553873219
301,12500307.091149192
303,15022887.324650506
304,18154555.69070672
315,8466003.558321342
318,2970008.212451462
320,17908708.419307604
322,20931761.617346305
323,25920761.073899273
326,25498641.747892853
328,24925840.956929665
337,21652745.833815455
339,18644185.739476632
342,20349897.882766824
343,22508093.501182023
360,18085487.91051163
364,20128463.418921694
365,18394326.98267557
367,20176712.44317461
368,15217476.102728587
369,13747315.226542037
372,15018872.67726638
376,19715707.865640264
379,18503834.35528134
380,22874260.858760092
383,14865071.858609848
385,10093302.829767367
386,13958485.316849967
390,16477142.144373044
391,16123296.425204828
393,16167495.134511085
400,7406175.603250605
403,7622591.715872447
413,19088710.33658706
416,20153021.58236109
423,15792496.333167966
424,17894501.981728993
426,13986516.224120503
427,18821641.097598292
428,14134626.748519626
429,19414147.989462875
431,11570374.2191287
432,16493305.31330173
433,17763468.364849113
439,9012298.452660656
443,16831543.41810325
444,19128216.865579568
446,19132505.378876798
449,18465034.87297654
456,17721101.79863479
457,12807703.613707313
464,14397208.016354831
468,17650704.588772256
472,12019205.891348226
474,16929455.649025492
483,11467391.995835224
488,13140799.804224988
494,12129597.918737782
499,9624897.20369435
505,11316564.514613274
506,13802209.718668532
510,13917133.757224225
511,10474019.935357379
512,6098047.149494929
517,10051170.027220862
521,13987470.771634618
522,8133353.401203589
523,12786086.963647952
526,11527083.418200862
531,10051170.027220862
540,2859403.4077414707
547,4919545.002900386
555,17356870.40340168
556,17918609.67575463
563,4792479.543234054
564,18889756.612575
566,9450566.936189247
573,9328026.802592972
574,18077232.680510752
581,17582332.817869496
588,11611385.49913385
590,15494104.134251235
591,15976765.781291047
595,15342969.057120796
596,14079341.923289279
597,17007466.90455734
599,14609984.896307211
600,10905938.264408486
602,10900061.786425255
603,14545442.281758217
606,15222786.709549056
613,10480822.897827107
615,11591699.468731169
620,16344583.42945349
623,11803707.562472932
624,10799470.258013306
628,11037096.717815315
630,13227312.600843864
635,16022768.257532878
636,14589398.245282171
638,15677850.453593504
662,10782201.438580325
664,11759687.338995574
665,9435673.413466224
670,13450341.637760611
672,10819317.149290811
677,11711071.29513871
680,9683049.519594008
695,8805033.66525325
705,8407721.62730552
713,5602089.124297779
716,5479073.585802778
717,7667716.5530673545
720,12128761.663901847
723,12647296.306413997
725,15074474.71627784
731,8084284.4163785735
733,8001525.392880051
734,12835724.402807256
738,13895536.136190588
740,12065840.051754821
743,13230529.132817749
747,13763967.366636816
750,13361481.879635755
752,12086651.47525504
753,8629865.461606368
756,10756864.25960059
758,9880512.58206898
768,15693309.32422473
770,12070244.829541106
772,9246995.28651783
773,10688286.754091784
791,13246126.35764191
