id,value
1,152213977.54469976
2,166987034.86655906
4,126482474.94235887
5,136935990.74929032
6,88219086.7435676
10,93884179.63090529
11,88804523.28285295
15,118441171.99822919
17,81719098.1278322
23,69185180.37445396
25,144593233.87514907
28,67788760.1700455
31,81977377.76479445
35,51288770.737066664
39,32768656.575736485
40,36753245.505027756
43,68232923.72207864
48,55768702.132154286
51,38735844.19086563
55,83865961.07357383
56,77933908.14609876
57,50678368.594113044
61,52825680.36644319
62,43164066.86374529
69,36073572.261174835
70,28368864.942154422
71,33421155.602481306
74,37531771.631774426
80,49379399.54804879
82,49324575.739625365
84,46054002.35020734
85,31347568.060556863
88,30770505.836523503
90,37295204.47491126
91,30369753.936886255
95,23611764.39137937
101,29708246.25491929
104,19704067.63196268
111,37341003.43999486
113,34734552.06978979
116,48469757.08237178
120,31821767.03847055
122,42431603.842486344
130,28685320.16977299
136,33130091.634199243
138,24104351.826614305
141,23931971.801210225
144,24099088.399311543
146,20195589.11274443
147,18164942.622122996
150,17278532.92191157
151,26883262.165544413
152,11846174.08297228
158,28904325.326550737
159,39188862.08304858
160,34618686.03494387
162,36212593.32816476
168,37065072.7414683
172,31995120.541570026
177,32128798.314632747
181,22982213.86255467
183,33690999.62208055
184,32468096.334758654
186,29947559.398971554
187,25542058.929774433
192,24993246.381068498
193,31247959.78679023
194,22579847.95796626
200,24752992.679869473
201,12611136.804137332
204,20437191.623278446
206,24638692.34264528
208,27821231.302892953
219,15878478.021709537
221,13575838.852645816
227,38881520.21718403
231,12488531.09308616
233,29558709.780375928
235,30996114.117473226
237,26933990.037112754
238,31811987.00849132
239,27397447.46905499
255,20618048.54589177
258,18934281.225471005
260,24444476.01745376
272,24014789.70461533
273,17519441.64815642
275,26751474.083662216
279,19237222.55266892
281,17553902.061534006
284,19927010.19939659
286,19194369.632010978
292,18208248.908899415
300,11235727.598324405
301,12219472.643636456
303,12076666.01663355
304,15331743.986268474
315,11362392.669358399
318,6490346.867368385
320,17635007.271691702
322,21096003.102723047
323,33012100.868546017
326,30149110.7023398
328,33165665.881763138
337,19528834.81160841
339,19844494.407878947
342,19879001.581372116
343,20653621.823332515
360,13574249.384841533
364,17953397.342866577
365,14583707.823747858
367,23860592.456127785
368,14039937.770695513
369,11378830.216339037
372,16907236.85726439
376,21707215.038786553
379,14953412.667679643
380,22022410.101172037
383,12317860.267847965
385,8704604.209050685
386,10523866.535920799
390,14582116.611804271
391,12790684.765898574
393,12636945.712384671
400,9345049.832901593
403,11288203.780431485
413,30579516.12416636
416,27082034.60553358
423,14538506.897608684
424,21215553.099651806
426,17033830.31436672
427,21876697.11536828
428,15148135.912543215
429,21580006.92123552
431,12803563.332606146
432,14463552.890315969
433,16761255.892370287
439,9916532.134763021
443,16975223.919738807
444,15843102.054422952
446,20651537.69893837
449,16942828.36919023
456,18120967.737817574
457,14574761.338251362
464,14123592.411040511
468,17863727.54927435
472,14861590.11559219
474,17155662.774217192
483,12213927.694225272
488,13575000.013745882
494,11645630.382715974
499,8808023.230015583
505,10987472.440622523
506,14849781.958928335
510,14000795.243871674
511,11060639.66120548
512,7460326.014919015
517,9787600.887912462
521,9909269.112797389
522,11289529.88782918
523,11610312.492795821
526,10581298.418234518
531,9787600.887912462
540,5233247.201025574
547,7014175.996764973
555,20833054.388535574
556,22392999.961361133
563,7077525.240691314
564,17416421.321994185
566,11822685.49386261
573,9303387.181657331
574,19497092.099836916
581,21204161.587180812
588,12192943.154866122
590,17239698.76882489
591,17559172.62656918
595,16678951.479008403
596,12407692.91108774
597,18662309.052957058
599,14615462.563775914
600,8535403.681638833
602,12482230.713625213
603,12228134.451277282
606,13554212.33989152
613,10190917.905801529
615,10133789.511565657
620,15378627.95177563
623,12160242.311122788
624,8539211.870012557
628,10452209.967936074
630,12118255.074777609
635,15548063.329626434
636,13857888.671405708
638,15544523.742709612
662,10097769.899458067
664,11660668.678425908
665,9426239.551257499
670,10917810.929662684
672,10829968.08671028
677,10444554.607215727
680,10245132.602912504
695,7800851.468923679
705,7216416.802010941
713,6986900.341770906
716,5516542.986047905
717,6440783.108144639
720,14088279.113801606
723,16317140.475384397
725,17417384.415339824
731,8426679.57935758
733,8372503.806180244
734,13613430.842905087
738,13239737.857447268
740,11312454.474573378
743,13157124.1196174
747,13502632.535208458
750,14338265.434277609
752,13676757.521072201
753,10197138.206524292
756,8688948.169004792
758,10125484.311900282
768,14932092.222335696
770,12162733.893795198
772,7786648.545298728
773,9049523.017256439
791,11474564.099006297
793,13934898.255553594
794,9182503.137109607
798,12517463.3218861
799,9280152.075862214
801,15805975.059019845
804,14509398.588158133
805,12480701.819141151
811,8582595.984809102
822,11553396.0068405
824,10274429.519155595
827,10309482.58357274
828,9605282.28896676
832,9602047.820072927
837,9387206.419351378
844,8718388.771730779
851,7601260.927164698
852,8266789.946961987
854,7575017.23208156
856,9663330.924414385
860,9542038.509871002
867,5799869.037033414
877,8163783.963643397
880,5994585.14352676
883,8935797.248765124
885,5958526.506285075
889,11120170.762106536
891,7159174.234162659
894,4114938.598678535
897,8315490.565898005
898,7529451.977450705
899,4745009.465239411
904,9561930.698381389
906,8280329.254655901
907,6670779.841107346
910,7906888.115260819
915,2893774.5678011104
917,8768279.91150639
919,10854284.774409184
925,7786356.778921696
928,6247035.294335018
940,3678054.531339152
945,10216806.582569923
946,8167877.991120914
951,7505254.839444507
953,10766261.477810144
959,3852791.1946133785
961,6882526.008221846
963,5055257.993426069
965,5509570.905605638
971,4392526.2308130525
973,5167317.555756331
983,5492722.940346396
985,7743031.621316087
997,5263237.94514486
998,5213797.643171005
999,7164443.63818743
1004,4112635.5878882185
1012,5310416.039402733
1014,9260888.540931819
1021,3854617.738259328
1024,9180706.827377269
1028,10909178.759850184
1034,6488838.188400273
1037,5692742.743893675
1038,11649851.281322459
1041,7554998.998266785
1043,6540489.651994401
1044,12916155.78296052
1048,10444518.787819784
1054,13960895.404245157
1058,6879524.695858703
1059,6229426.484362235
1061,9957323.9717213
1068,3736923.033900534
1070,4779586.448267691
1075,9206502.184000785
1076,4362013.524512745
1078,6750608.89592411
1080,6850658.256758989
1082,14670426.303391803
1084,3878556.340610422
1085,5167317.555756331
1088,10104795.009449698
1091,11673092.071634639
1094,12316874.220021605
1096,8049013.9933091635
1099,8453311.459160242
1101,6377916.642407214
1103,7843369.955938517
1107,8001607.448901864
1108,8409366.539216913
1110,7437003.680202463
1117,7698073.557176453
1119,9500810.004530726
1120,7370462.05437473
1122,5599027.22560504
1130,13202529.042402185
1136,12135291.647694862
1137,6404671.357250406
1139,14370760.460834026
1140,8547058.733496344
1141,13358497.929168304
1144,9806944.525986323
1148,8215579.793381195
1165,6523176.1377751995
1168,11629814.072680539
1174,8955954.431963345
1179,8102053.495917966
1187,9721903.918524222
1188,8434024.522550553
1190,3400499.0088724196
1196,7020717.766516933
1197,3960963.9014284597
1200,8704568.304807369
1201,7636035.190970792
1203,4646440.739874004
1205,5509305.695832108
1208,6217115.157232668
1212,6962517.241723837
1213,6402690.024265478
1214,10539922.061495904
1217,5685057.166858642
1224,4838302.453765216
1228,7510774.046606399
1229,4972289.524829813
1239,5762892.825703852
1240,6440786.567610686
1247,8930335.240423039
1259,10303615.4197652
1261,5381622.300790788
1265,8539870.892974004
1268,7739454.5163048385
1269,1846661.8266221643
1271,9778008.69322941
1274,6378966.314043459
1275,6207678.621619486
1276,6940246.167033466
1277,3431438.099683272
1278,6671811.884489975
1288,5296795.957935195
1291,6708582.8176064165
1296,8390238.37445298
1297,6960964.549600889
1302,10208035.36062989
1304,9247149.246677678
1306,6071703.22883677
1307,3585438.093432342
1309,3086641.890805013
1310,6746225.928307266
1314,4974507.9805544065
1316,7094371.5389235085
1317,11996192.858320568
1323,4140332.21470112
1324,6426775.392645448
1325,7611567.286134874
1326,2726263.329313608
1331,3854228.774864572
1333,5006931.442619255
1334,5994965.798513487
1335,5958431.053001457
1337,7069694.408217317
1347,8893045.069495747
1348,4516102.306445809
1354,6484181.160042279
1355,4270934.119329851
1358,8524902.528804272
1362,6478175.84895124
1363,4472330.735928848
1375,6564971.147164591
1377,8956449.67837234
1380,9061311.056957588
1382,6600199.827234669
1391,4010876.6656477926
1397,5429553.089536049
1400,5834056.704590773
1401,5377463.951045252
1405,11269961.271492697
1408,4973964.450439501
1409,5194704.821228977
1411,6414460.945342946
1417,4165489.5741650346
1420,10015313.402716175
1421,8159311.481174483
1425,4780147.941049915
1428,6232256.941605209
1431,9280148.837858884
1436,5992974.919319081
1448,5131849.725149677
1450,5673133.204055562
1458,4911100.829465199
1459,9375051.466394767
1463,5363208.301912251
1471,11375538.737763772
1473,6308370.736548553
1474,6456975.419647999
1476,9372680.004372345
1482,5260248.652440515
1487,5905032.902188204
1491,9773407.541906953
1496,4747298.660700623
1497,9464633.04040412
1498,8832197.329910796
1504,6636759.564016569
1507,7962316.383168912
1509,6474343.444818045
1513,4571163.123873573
1518,5670605.676457095
1519,4408209.084729982
1522,6235327.311970634
1532,7629866.502153586
1534,10966377.733155059
1538,7164258.180450789
1542,4907709.9261906
1544,4715681.821197863
1549,7063453.743590111
1558,6573100.236932019
1562,4734133.644238275
1563,4282016.186943162
1564,6918610.228885065
1565,2892894.039314277
1568,4139685.6814568895
1569,6128604.171423441
1570,3754717.6465695873
1573,4600996.058724861
1574,5684103.659858793
1578,4907373.532812845
1580,8526223.854993945
1581,2675424.784866796
1585,5143397.496261097
1591,3162966.343384712
1598,4775808.827961267
1600,5711790.4561935505
1609,4414904.763689054
1614,5713064.511245271
1619,5677359.933754808
1628,4884651.212564108
1630,5476537.151516961
1633,4910605.258028455
1638,5409759.445516887
1651,2726219.6556324526
1652,5894062.241924483
1659,4284232.192007938
1663,5130102.155202057
1667,2198044.8164700945
1668,6624574.308181326
1670,8167252.15985592
1671,8273006.144950319
1675,4656441.277049563
1678,5490755.000511699
1681,6026246.383401768
1683,4241831.785787029
1687,6721287.927705811
1689,7296877.338460016
1690,4682763.844262786
1697,7846728.579288092
1700,4263979.727100717
1711,5025056.731476845
1713,4138291.6896756827
1720,5172581.3976534
1723,6327559.222902704
1729,7736183.696762279
1730,5649840.0326991705
1735,6054808.3466787
1736,5477758.731663726
1737,3764371.223483843
1738,4215321.878293594
1741,7506387.484633428
1747,9010971.262582172
1753,5592193.164402422
1755,6357850.670112994
1764,4359148.604796736
1766,7011629.292287178
1770,3012583.326694884
1775,3473376.4850825216
1776,4941487.761164801
1783,6819115.4217610825
1789,4319612.854258178
1794,6624574.308181326
1795,4217320.291652517
1799,8251362.494375569
1802,4475506.55870201
1805,2157817.842033266
1808,7586176.945167303
1811,3709339.5271599735
1812,5340633.827294094
1813,6574533.979462588
1816,7105990.665546622
1817,6954458.025951013
1820,1946064.5719456114
1828,6032059.03332715
1837,5418822.566522345
1838,5641352.806474593
1840,3587867.325335309
1841,8335143.207908363
1842,8554644.893397713
1843,3899024.0307825287
1845,7770767.304417232
1847,3070668.839988875
1848,5703363.003389022
1853,4418942.714955715
1855,6628581.963039946
1856,7267846.697812255
1861,6718102.987825745
1864,6672242.496983135
1871,4628372.371668013
1873,3827082.646571939
1874,7434531.31796571
1875,6909488.07366224
1876,4941487.761164801
1877,3725105.650883945
1885,4999666.134291092
1887,5629924.473122609
1894,6654518.704751627
1896,5539713.604290262
1897,7854002.547649603
1905,5667719.056797852
1908,3389028.6322944853
1909,8217715.398354346
1912,3700059.3860635906
1918,7938427.144829365
1922,8981816.631468406
1923,6202043.687326779
1926,6533445.530790015
1930,5549675.873903449
1935,5177245.529162305
1949,4822885.122236461
1960,4310704.419992884
1967,4845394.930986344
1968,5960855.945661355
1969,3454372.3743017237
1973,3876385.278801285
1974,4008899.323306527
1976,2411997.3408079804
1977,5244206.11013948
1978,8046562.722644596
1982,7025544.524538702
1986,3295752.3820935236
1996,6032718.18675941
2002,3935101.433946678
2010,6501607.338071618
2013,6685475.963285933
2014,3318234.940696533
2024,4894805.631771546
2026,2203664.9277619775
2027,5386567.588032565
2028,3674961.059769786
2031,2171406.037853991
2033,3771690.1395445163
2038,6067656.629563809
2041,3369378.680028357
2047,3674961.059769786
2054,4572778.639482998
2055,5668527.903243963
2057,4710766.365660994
2059,4212716.375399167
2062,4401207.361011539
2063,4293323.3182660565
2074,1686089.183069595
2077,5245144.4881833205
2089,4978594.097993161
2092,6515510.238766568
2095,3031006.7412904412
2099,5795309.936615421
2108,6097047.049925354
2116,2513032.7373891077
2117,6292700.751345168
2120,3002562.3857622324
2130,3057314.898477346
2131,2232999.913429654
2133,3618072.4500860083
2135,4167612.6907246485
2138,2665502.309105587
2139,5921161.59561848
2140,5614872.365429104
2143,3564440.93106876
2144,4642999.990473682
2146,3708965.223560296
2148,2143561.244456628
2153,7320738.450729842
2160,2675071.79639724
2173,4942068.273671757
2179,4710665.315879704
2180,5543496.259132344
2181,2665502.309105587
2182,1718316.1492439846
2183,2336832.5657316432
2184,4695731.2640330875
2189,2880763.630561158
2190,5291255.496052052
2191,6051065.85176896
2192,5955742.190467288
2200,3936178.5413194834
2205,2795977.2402552175
2206,5228277.204501817
2207,7530933.704366026
2212,3899774.5562943523
2215,1995859.8126843364
2219,4357199.23599853
2229,7012714.068847777
2232,4573493.008981241
2238,4145069.3633402153
2241,5923803.403737747
2244,2855528.1575177205
2247,1420636.7518062957
2249,4753602.012176955
2250,2149426.849987093
2254,4659550.169326391
2255,4657518.126648978
2262,3515156.633082261
2264,5283472.265031883
2268,4458145.035311562
2269,7703578.0908504035
2281,2623872.0199637595
2284,6224185.536876664
2288,2875601.390581095
2296,4514844.023381347
2299,6443163.6639659805
2300,4296324.9563529305
2302,7437096.648325863
2305,6082874.955480091
2310,3385685.5753671355
2325,4972250.649497483
2327,3389426.7661364772
2332,4491673.536957834
2333,3924300.0055287215
2343,3994364.9372377493
2347,7244532.364094491
2350,3009529.5657511167
2356,4339986.834289152
2359,7800775.435171773
2365,3630494.6197219184
2370,3250701.9406015375
2372,6120747.004488942
2375,3708295.4995241864
2382,4977771.858757662
2383,6772901.810121498
2386,2891421.4127056785
2390,4843852.577711697
2398,2585026.9662119746
2403,4634821.532790983
2406,3970160.2232773565
2411,4836635.395750306
2418,2690694.6724982923
2419,5327539.821201746
2422,4392153.891169055
2429,4036421.9560055807
2430,5073795.4016408725
2431,4637137.85644503
2434,3440563.5715744873
2439,4709814.7158880755
2443,5508199.00845299
2445,7448403.41004153
2449,5625073.360511438
2452,3562207.975291806
2456,4683313.962589522
2459,6165274.395267748
2465,3827007.2337456527
2476,3296026.610071114
2485,4627574.583261295
2488,2560744.4779125475
2490,5154813.157296476
2491,5700329.76557809
2492,3804252.8498725565
2501,1909224.3306953683
2503,4931782.014972858
2506,4653798.617977726
2508,3420586.76077321
2510,2253880.587907452
2513,5694007.1147253085
2520,4443651.348864795
2521,3422826.459804345
2525,4979031.3274383005
2526,1834046.1093120447
2529,4029448.44043708
2530,3517809.2825930547
2535,2203786.7860351964
2536,2758339.882119127
2540,1145592.6379208989
2543,2300398.505979711
2547,4042301.693341751
2549,1460682.564724631
2558,3436280.709464662
