id,value
1,51955034.8012289
2,53361807.88343247
4,47287258.90814714
5,48313015.74603238
6,41360545.75095952
10,42819612.93781535
11,42383755.46304401
15,46700313.25074517
17,40517311.95100536
23,38532247.9841884
25,46792616.987249635
28,38225270.486353315
31,39081920.09892533
35,32010856.19716715
39,28699805.854478214
40,29680529.160140336
43,38264815.643016465
48,34336645.57431752
51,28113146.49853085
55,38791989.922814205
56,37534200.66188948
57,33576027.125635035
61,32154514.816945978
62,32347213.188376077
69,27865317.68004489
70,25303058.204419952
71,27404838.042467367
74,29272710.717807814
80,31982934.01093804
82,32294287.73666254
84,29238317.24029613
85,27692588.519902397
88,26741487.72037872
90,26579031.072080594
91,26579031.072080594
95,24450728.217895407
101,25745828.264328428
104,21008228.332437582
111,27696463.72675952
113,27043469.404244356
116,32606762.399952624
120,26970102.771145888
122,28033088.328686286
130,24395541.99976097
136,25542198.16512697
138,23062982.488823134
141,23037444.95942526
144,22330222.451584287
146,21213608.68619554
147,21114851.155185714
150,19570715.186050862
151,24291019.061302766
152,14930119.926570572
158,21684329.222333126
159,24753071.358141255
160,26623385.81833284
162,27542829.76984699
168,27109290.930514086
172,24068407.004858777
177,27803947.35694175
181,22054091.53913642
183,27166626.437095374
184,26042089.314356122
186,24692492.15009084
187,24740848.640380006
192,22964692.644588873
193,24394098.396903813
194,22288095.344523896
200,21587182.807350967
201,17235511.235166095
204,22687007.25135392
206,24068407.004858777
208,22302357.24460541
219,20023556.249020085
221,16184765.013255972
227,25400785.15676949
231,13663687.597084194
233,24625799.80115333
235,25467541.66499205
237,23674866.861161556
238,24021073.254838597
239,23334632.29869386
255,19239986.254533466
258,19419790.34154278
260,21551097.302372452
272,20945027.77743966
273,19285202.29956431
275,22586313.81322478
279,21044955.841713425
281,20021700.41478032
284,19949384.84007438
286,18500109.8684715
292,19935651.90970966
300,15271779.414144658
301,15412799.000887632
303,16030108.621893298
304,18864058.296856962
315,14440115.498590028
318,11783935.855819449
320,16355085.194911143
322,21436665.610888127
323,24546555.38012695
326,23969417.466824006
328,24146584.48463033
337,20433573.414819527
339,20071840.93724415
342,21548351.979730796
343,21682381.149982315
360,16355085.194911143
364,20483188.062635664
365,17055783.359680995
367,20485305.72430526
368,16284156.47708803
369,14913429.73456168
372,19707365.9649267
376,19797648.85347483
379,17055783.359680995
