id,value
1,64339483.47395425
2,90914485.10929573
4,78866771.3347466
5,82313654.37649271
6,65606674.79781557
10,71502232.63107821
11,67874309.93853144
15,73659629.77625537
17,67873695.66558023
23,62777734.1861308
25,69387555.50318772
28,64487215.65689408
31,68336859.55219772
35,46609497.06454982
39,24880119.6009497
40,25006504.57105436
43,65273901.01314474
48,53670099.484952055
51,35728562.863079645
55,63088123.04694913
56,62864406.125711985
57,45640073.879788265
61,51656880.785233505
62,52948661.09194917
69,38151330.33268373
70,31844642.922532998
71,39854156.9975599
74,44812097.17608476
80,52788233.075453594
82,51028073.935188666
84,41810427.266605586
85,40849801.11442658
88,40116018.36817355
90,36014291.39196032
91,34766252.69551564
95,30802711.9529879
101,34473615.33184211
104,12357589.295752209
111,36182012.54702068
113,36088886.13668665
116,45945130.27414349
120,39283325.05273709
122,40334953.18768405
130,31306718.13163581
136,36391098.05367252
138,29872502.905313514
141,23926278.400197607
144,28497745.469978917
146,25539846.1735904
147,20005328.527190186
150,21518263.918152213
151,31798003.03162633
152,9489605.927764822
158,22160012.220801648
159,27825309.24438648
160,29792509.413212124
162,33494651.082657058
168,32682183.534800768
172,28316364.69919363
177,30945963.2499228
181,27279327.515736103
183,33967522.99954207
184,33076045.940848604
186,29499796.45000021
187,32329403.52974514
192,27845492.131839797
193,30622908.611779854
194,23513814.76759067
200,24151982.2160316
201,10677036.052163426
204,24084340.828819454
206,28556561.329353422
208,25234697.261358354
219,20141556.07252081
221,11419206.050001496
227,29844503.132000595
231,6003720.432097439
233,29842392.186413474
235,28511936.873120867
237,22483726.73228026
238,24862312.090013277
239,24817114.852154262
255,19855763.98424141
258,21995806.48020016
260,22931368.009564433
272,21976233.99287388
273,20390953.690189105
275,25403960.873220116
279,19403918.395358667
281,22041582.34823406
284,21292064.19507376
286,19551614.363604363
292,19240485.42019086
300,12500715.058500102
301,12388886.977974819
303,14502383.227872819
304,19033350.553698644
315,7604021.257820202
318,2791782.5596361333
320,17143309.005319595
322,21207945.800864562
323,26548433.914093077
326,26094165.9096605
328,24409014.86918954
337,22260607.686682124
339,20112923.480119735
342,21047014.26787831
343,23005000.960208163
360,17416137.392524216
364,20698554.64166567
365,17624562.346624363
367,20708033.103228472
368,15566086.506717537
369,14312593.315570235
372,16823539.50714356
376,19928815.266946115
379,17626266.79958862
380,22078145.494380075
383,15522675.389925132
385,9436916.27586508
386,14461071.8267119
390,15780186.12286355
391,15555041.667707006
393,15876579.431795575
400,7618968.194327115
403,8097826.435496906
413,22416765.61233983
416,20551590.71981345
423,16037801.202733226
424,16927760.139932755
426,13732379.338767517
427,18702498.987916358
428,14342838.433311628
429,19810184.957776036
431,12013521.874437802
432,17204276.03437107
433,16806712.418554254
439,9950753.492176132
443,16018280.452372128
444,18809820.657050896
446,18668793.11830496
449,18824321.022057816
456,17134864.147545792
457,13495189.573839502
464,14308892.71571262
468,18023678.51516819
472,12889159.148894178
474,17173990.744438186
483,11965268.10263509
488,13488921.804377653
494,14190222.684996992
499,10094771.28831311
505,11812950.118749741
506,14553229.145985343
510,14049466.836019557
511,11111702.69815865
512,5512302.279141417
517,10566920.757305386
521,14184709.585227842
522,9106356.996701181
523,13241500.934687985
526,11958015.619224498
531,10566920.757305386
540,2106917.280001532
547,4738950.982811576
555,17119787.516906146
556,17863414.96116886
563,4601505.136610382
564,18330963.29289803
566,10504673.510692209
573,8833104.12829869
574,17402175.244112935
581,17499680.79123833
588,12051774.238966342
590,15864663.365732187
591,15833542.25600332
595,15181292.618635602
596,14405201.766547913
597,17042180.26209693
599,14357264.796425026
600,10248840.371457778
602,11779773.21082263
603,14030155.990300916
606,15094849.986041956
613,10933541.15011778
615,12455523.715663541
620,16763069.794846166
623,11956799.46344137
624,10227069.880186448
628,10370249.564481596
630,12771037.560657993
635,14454915.943610717
636,13798706.181073992
638,15396927.920824537
662,9819169.940135542
664,11467375.342385534
665,10510877.160675952
670,12956651.393714815
672,12079410.464845749
677,12401772.213304216
680,10783710.457954628
695,8488672.292682655
705,8757569.020304104
713,6005400.2571571395
716,4321574.440457507
717,6756735.164345723
720,13869063.989641665
723,12928214.547956504
725,15455144.523034126
731,8035360.183156431
733,8035360.183156431
734,12230890.25238528
738,13443910.888064729
740,11854285.541231541
743,12902850.330151934
747,13267986.854793498
750,13574835.776489813
752,11840676.218941065
753,9077823.2351524
756,10236358.763128709
758,9812347.891325762
768,16097973.280244369
770,12539620.088333486
